bydel_pdf;kvarter_code;kvarter_name;omrkk_bydel;bydel_name;split;population_check
Vanløse;20803;Sallingvej Kvarter;1006;Vanløse;lokaludvalg;quarters 40 883 vs PDF 40 803 (+0.2 %)
Vanløse;20804;Grøndals Park Kvarter;1006;Vanløse;lokaludvalg;quarters 40 883 vs PDF 40 803 (+0.2 %)
Brønshøj-Husum;20901;Husum;1007;Brønshøj-Husum;lokaludvalg;quarters 44 989 vs PDF 45 076 (-0.2 %)
Brønshøj-Husum;20902;Husum Nord;1007;Brønshøj-Husum;lokaludvalg;quarters 44 989 vs PDF 45 076 (-0.2 %)
Brønshøj-Husum;20903;Tingbjerg;1007;Brønshøj-Husum;lokaludvalg;quarters 44 989 vs PDF 45 076 (-0.2 %)
Brønshøj-Husum;20904;Brønshøj;1007;Brønshøj-Husum;lokaludvalg;quarters 44 989 vs PDF 45 076 (-0.2 %)
Brønshøj-Husum;20905;Bellahøj;1007;Brønshøj-Husum;lokaludvalg;quarters 44 989 vs PDF 45 076 (-0.2 %)
Bispebjerg;21001;Emdrup;1008;Bispebjerg;lokaludvalg;quarters 55 903 vs PDF 55 730 (+0.3 %)
Bispebjerg;21002;Ryparken-Lundehus;1008;Bispebjerg;lokaludvalg;quarters 55 903 vs PDF 55 730 (+0.3 %)
Bispebjerg;21003;Bispebjerg;1008;Bispebjerg;lokaludvalg;quarters 55 903 vs PDF 55 730 (+0.3 %)
Bispebjerg;21004;Utterslev;1008;Bispebjerg;lokaludvalg;quarters 55 903 vs PDF 55 730 (+0.3 %)
Bispebjerg;21005;Nordvest;1008;Bispebjerg;lokaludvalg;quarters 55 903 vs PDF 55 730 (+0.3 %)
Amager Øst;21101;Amagerbro øst;1009;Amager Øst;lokaludvalg;quarters 63 987 vs PDF 63 942 (+0.1 %)
Amager Øst;21102;Sundbyøster;1009;Amager Øst;lokaludvalg;quarters 63 987 vs PDF 63 942 (+0.1 %)
Amager Øst;21103;Villakvartererne;1009;Amager Øst;lokaludvalg;quarters 63 987 vs PDF 63 942 (+0.1 %)
Amager Øst;21104;Nordøstamager;1009;Amager Øst;lokaludvalg;quarters 63 987 vs PDF 63 942 (+0.1 %)
