level;code;name;parent;indicator;label;unit;value;period;inherited_from;source;tables
kunta;005;Alajärvi;South Ostrobothnia;completions_1000;Dwellings completed;per 1,000 dwellings;4.05;2026M07;maakunta;Tilastokeskus raku 156f (building and dwelling production, monthly, by region);raku/156f
kunta;005;Alajärvi;South Ostrobothnia;starts_1000;Dwellings started;per 1,000 dwellings;2.48;2026M07;maakunta;Tilastokeskus raku 156f;raku/156f
kunta;005;Alajärvi;South Ostrobothnia;permits_1000;Dwellings permitted;per 1,000 dwellings;2.52;2026M07;maakunta;Tilastokeskus raku 156f;raku/156f
kunta;005;Alajärvi;South Ostrobothnia;tax_home;Property tax, permanent dwelling;%;0.5;2026;;Verohallinto, kiinteistöveroprosentit kunnittain (kive_202);vero/kive_202
kunta;005;Alajärvi;South Ostrobothnia;tax_other;Property tax, other dwelling;%;1.5;2026;;Verohallinto, kiinteistöveroprosentit kunnittain (kive_202);vero/kive_202
kunta;005;Alajärvi;South Ostrobothnia;tax_general;Property tax, general (building);%;0.93;2026;;Verohallinto, kiinteistöveroprosentit kunnittain (kive_202);vero/kive_202
kunta;005;Alajärvi;South Ostrobothnia;tax_land;Property tax, general (land);%;1.3;2026;;Verohallinto, kiinteistöveroprosentit kunnittain (kive_202);vero/kive_202
kunta;005;Alajärvi;South Ostrobothnia;tax_undev;Property tax, undeveloped building site;%;3.0;2026;;Verohallinto, kiinteistöveroprosentit kunnittain (kive_202);vero/kive_202
kunta;005;Alajärvi;South Ostrobothnia;tax_income;Municipal income tax;%;9.1;2026;;Verohallinto, kuntien ja seurakuntien tuloveroprosentit;vero/tuloveroprosentit
kunta;005;Alajärvi;South Ostrobothnia;fc_growth;Projected population change 2026→2040;%;-13.01;2040;;Tilastokeskus vaenn 14wx, Väestöennuste 2024 (published 2024-10-24);vaenn/14wx
kunta;005;Alajärvi;South Ostrobothnia;fc_abs;Projected change in residents 2026→2040;residents;-1142;2040;;Tilastokeskus vaenn 14wx, Väestöennuste 2024 (published 2024-10-24);vaenn/14wx
kunta;005;Alajärvi;South Ostrobothnia;fc_growth_5y;Projected population change 2026→2031;%;-5.99;2040;;Tilastokeskus vaenn 14wx, Väestöennuste 2024 (published 2024-10-24);vaenn/14wx
kunta;005;Alajärvi;South Ostrobothnia;fc_pop_rate_5y;Projected population change, per year;residents per 1,000 / yr;-11.98;2040;;Tilastokeskus vaenn 14wx, Väestöennuste 2024 (published 2024-10-24);vaenn/14wx
